(105.476349, 137.4561)
(104.050629, 137.638077)
(103.337517, 137.701874)
(103.210823, 137.668579)
(103.544304, 137.559235)
(104.211754, 137.394867)
(105.086922, 137.196564)
(106.043625, 136.985367)
(106.955627, 136.782333)
(107.6967, 136.608521)
(108.140625, 136.484985)
(108.394455, 136.397934)
(108.648544, 136.317825)
(108.901657, 136.242218)
(109.152542, 136.1686)
(109.399986, 136.094452)
(109.642738, 136.017273)
(109.879555, 135.934586)
(110.109207, 135.843826)
(110.330444, 135.742584)
(110.542053, 135.6283)
(110.743889, 135.499039)
(110.937164, 135.356384)
(111.122665, 135.202927)
(111.301147, 135.041412)
(111.473389, 134.874466)
(111.640167, 134.7048)
(111.802238, 134.53508)
(111.960381, 134.367966)
(112.115372, 134.206116)
(112.267982, 134.052261)
(112.417976, 133.9113)
(112.564423, 133.7832)
(112.707062, 133.6632)
(112.845612, 133.546509)
(112.97979, 133.428345)
(113.109306, 133.30397)
(113.233917, 133.168564)
(113.353333, 133.017349)
(113.467262, 132.845581)
(113.575455, 132.648453)
(113.666855, 132.4283)
(113.735641, 132.19133)
(113.7893, 131.93869)
(113.835365, 131.671463)
(113.881317, 131.390808)
(113.934692, 131.0978)
(114.002975, 130.793533)
(114.093674, 130.479187)
(114.214317, 130.1558)
(114.372391, 129.824539)
(114.536011, 129.47435)
(114.67968, 129.0979)
(114.820465, 128.702)
(114.975494, 128.293365)
(115.161827, 127.878723)
(115.396576, 127.464836)
(115.696815, 127.058456)
(116.079659, 126.666306)
(116.56218, 126.295166)
(117.161476, 125.951721)
(117.94249, 125.593094)
(118.923569, 125.188393)
(120.051926, 124.762527)
(121.274773, 124.340363)
(122.539322, 123.946777)
(123.7928, 123.606644)
(124.982407, 123.344864)
(126.055344, 123.18631)
(126.958862, 123.155853)
(127.640137, 123.278389)
(128.093552, 123.60215)
(128.370758, 124.128136)
(128.504791, 124.810379)
(128.528748, 125.602867)
(128.475677, 126.459641)
(128.3787, 127.3347)
(128.270828, 128.182053)
(128.185211, 128.955734)
(128.154861, 129.609726)
(128.2129, 130.098083)
(128.330154, 130.442047)
(128.456131, 130.701126)
(128.5919, 130.886719)
(128.7385, 131.010132)
(128.896988, 131.0828)
(129.068451, 131.116028)
(129.253922, 131.121231)
(129.454468, 131.109756)
(129.671143, 131.092957)
(129.905, 131.082214)
(130.161621, 131.057083)
(130.442978, 130.9944)
(130.744812, 130.901474)
(131.062775, 130.785645)
(131.392624, 130.654236)
(131.73, 130.514572)
(132.070648, 130.373947)
(132.410263, 130.239685)
(132.744537, 130.119141)
(133.0692, 130.019592)
(133.388077, 129.932434)
(133.707764, 129.84523)
(134.028091, 129.7597)
(134.348877, 129.677551)
(134.669952, 129.600449)
(134.9911, 129.5301)
(135.31218, 129.468246)
(135.632965, 129.4165)
(135.953339, 129.376633)
(136.273087, 129.350266)
(136.5939, 129.340408)
(136.916885, 129.346924)
(137.241058, 129.366928)
(137.565369, 129.397476)
(137.888779, 129.435669)
(138.210266, 129.478577)
(138.528824, 129.5233)
(138.8434, 129.56694)
(139.152985, 129.606567)
(139.456512, 129.639267)
(139.755371, 129.661423)
(140.051392, 129.674042)
(140.344223, 129.681168)
(140.63353, 129.6868)
(140.918961, 129.695023)
(141.200226, 129.709824)
(141.476974, 129.735245)
(141.748871, 129.77533)
(142.015579, 129.8341)
(142.276779, 129.915634)
(142.717316, 130.003036)
(143.440216, 130.082809)
(144.322464, 130.16391)
(145.241013, 130.255356)
(146.072754, 130.366074)
(146.694672, 130.505081)
(146.983688, 130.681366)
(146.816757, 130.90387)
(146.070831, 131.1816)
(144.622879, 131.523544)
(142.200531, 131.972717)
(138.780121, 132.543747)
(134.611588, 133.202927)
(129.944809, 133.91655)
(125.029739, 134.651016)
(120.116234, 135.372559)
(115.454231, 136.047516)
(111.293655, 136.642227)
(107.884384, 137.122971)
(105.476349, 137.4561)
